MajorID,UniversityID,MajorName,MajorSite,address,ContactInfoTel,Email,AdmissionRequirementsLink,ApplicationDeadline,Tuition,ApplicationFee,MasterCredits,DoctorCredits,GPA,GRE,TOEFL,IELTS,PTEAcademic
1,1,Computer Science,https://scai.engineering.asu.edu/,"699 S. Mill Avenue Tempe, AZ 85281",480-965-3199,scai.grad.admission@asu.edu,https://scai.engineering.asu.edu/graduate-admissions/,https://scai.engineering.asu.edu/graduate-admissions/,25398,115,30,84,3,Required,90,7,65
2,1,Computer Engineering,https://ecee.engineering.asu.edu/,"650 E. Tyler Mall Tempe, AZ 85287-5706",480-965-3424,askee@asu.edu,https://ecee.engineering.asu.edu/degrees/graduate/,https://ecee.engineering.asu.edu/degrees/graduate/,25398,115,30,84,3,Required,80,6.5,60
3,2,Computer Science,https://www.cs.arizona.edu/,"1040 E. 4th Street Tucson, AZ 85721",520-621-4632,dei@cs.arizona.edu,https://cs.arizona.edu/graduate/prospective-students/admission-requirements,https://cs.arizona.edu/graduate/prospective-students/application-deadlines,33957,90,30,64,3.2,Required,79,7,60
4,2,Computer Engineering,https://ece.engineering.arizona.edu/,"1230 E. Speedway Blvd. Tucson, AZ 85721-0104",520-621-6193,gradadmissions@ece.arizona.edu,https://ece.engineering.arizona.edu/grad-programs/admissions,https://ece.engineering.arizona.edu/grad-programs/admissions,33957,90,30,66,NULL,Not Required,79,7,60
5,3,Computer Science,https://www.cs.stanford.edu/,"353 Jane Stanford Way Stanford, CA 94305",650-723-2300,admissions@cs.stanford.edu,https://www.cs.stanford.edu/admissions,https://www.cs.stanford.edu/admissions-graduate-application-deadlines,55011,125,45,135,NULL,Not Required,100,NULL,NULL
6,4,Computer Science,https://eecs.berkeley.edu/,"387 Soda Hall Berkeley, CA 94720-1776",510-642-1042,gradadmissions@eecs.berkeley.edu,https://eecs.berkeley.edu/academics/graduate/research-programs/admissions,https://eecs.berkeley.edu/academics/graduate/research-programs/admissions,29578,155,24,24,3,Not Required,90,7,NULL
7,5,Computer Science,https://cse.ucsd.edu/,"9500 Gilman Drive La Jolla, CA 92093-0404",858-534-8872,csegradinfo-ms@ucsd.edu,https://cse.ucsd.edu/graduate/admissions,https://cse.ucsd.edu/graduate/admissions,29005,155,12,37,3,Not Required,85,7,NULL
8,6,Computer Science,https://www.cms.caltech.edu/,"1200 E. California Blvd. Pasadena, California 91125-2100",626-395-3034,mlopez@cms.caltech.edu,https://catalog.caltech.edu/current/information-for-graduate-students/special-regulations-for-graduate-options/computer-science-cs/,https://www.gradoffice.caltech.edu/documents/26875/Application_Deadlines_2023-24.pdf,63063,100,x,135,NULL,Not Required,NULL,NULL,NULL
9,7,Computer Science,https://www.cs.ucla.edu/,"291 Engineering VI Los Angeles, CA 90095-1596",310-825-6830,helen@cs.ucla.edu,https://www.cs.ucla.edu/graduate-admissions/,https://www.cs.ucla.edu/graduate-requirements/,28424,155,NULL,NULL,3,Not Required,87,7,NULL
10,7,Computer Engineering,https://www.ee.ucla.edu/,"420 Westwood Plaza Los Angeles, CA 90095-1594",310-825-2647,ecechair@seas.ucla.edu,https://www.ee.ucla.edu/graduate-application-requirements/,https://www.ee.ucla.edu/graduate-application-requirements/#update,28424,155,NULL,NULL,3,Not Required,87,7,NULL
11,8,Computer Science,https://www.cs.ucsb.edu/,"2104 Harold Frank Hall Santa Barbara, CA 93106-5110",805-893-4321,gradhelp@cs.ucsb.edu,https://www.cs.ucsb.edu/education/graduate/how-to-apply,https://www.cs.ucsb.edu/education/graduate/how-to-apply,28683,155,42,NULL,3,Not Required,80,7,NULL
12,8,Computer Engineering,https://www.ce.ucsb.edu/,"4155 Harold Frank Hall Santa Barbara, CA 93106-9560",805-893-5364,grad-admit@ece.ucsb.edu,https://www.ece.ucsb.edu/grad,https://www.ece.ucsb.edu/grad/apply,28683,155,NULL,NULL,NULL,Not Required,80,7,NULL
13,9,Computer Science,https://www.cs.usc.edu/,"941 Bloom Walk Los Angeles, CA 90089",213-740-4488,csdept@usc.edu,https://viterbigradadmission.usc.edu/programs/masters/apply/ready-to-apply/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-computer-science/,64666,90,28,60,NULL,Not Required,90,6.5,61
14,10,Computer Science,https://www.cs.uci.edu/,"3019 Donald Bren Hall Irvine, CA 92697-3435",949-824-3289,gcounsel@ics.uci.edu,https://grad.uci.edu/admissions/applying-to-uci/,https://ics.uci.edu/admissions-information-and-computer-science/graduate-admissions/,28747,155,47,47,3,Not Required,80,7,NULL
