LabID,ProfessorID,LabName,LabDescription,LabWebsite,LabKeywordResearchField,LabAddress,LabEmail,LabPhone,LabSize
1,6,UTNS Lab,"The UTNS research group at the University of Texas at Austin works on foundational systems and networking problems that arise in supporting big data analytics, distributed machine learning, and large-scale distributed applications. Our work explores both theoretical underpinnings and system design/implementation, and builds on ideas from adjacent areas such as game theory, optimization, and formal methods.",https://utns.cs.utexas.edu/,foundational systems and networking problems,"Gates Dell Complex (GDC)
2317 Speedway, Stop D9500
Austin, TX 78712",akella@cs.utexas.edu,NULL,20
2,7,Theory meets Practice,"We are a group of distributed systems researchers in the Department of Computer Science at Cornell University, united in the belief that a deeper understanding of the theoretical framework that shapes the design space is essential to building systems that surpass the performance, scalability, and robustness of the state of the art; and, conversely, that the problems that arise when addressing systems’ “pain points” can serve as a compass to guide us to exciting new theory.
We are not afraid to pursue a problem wherever it will lead us—we build systems and prove theorems with equal gusto and flair. Over the years, we have been exploring problems in message logging, scalable web caching, state machine replication, quorum systems, Byzantine fault-tolerance, and Game Theory. We are currently intrigued by the many facets of the apparent tension between ease of programming and performance in distributed systems and databases: by gaining a deeper understand it of it, our aim is to recognize to what degree this tension is fundamental and, when it is not, develop novel ways to resolve it (see Research). Cornell is one of the intellectual cradles of distributed computing and a special place that embraces researchers who, like us, are attracted by a research style that bridges artificial area divisions in the pursuit of scholarship. We are fortunate to have such travel companions within Cornell’s broader systems group and beyond. We are grateful for funding from the National Science Foundation as well as awards and gifts from Google, Huawei, Facebook and Amazon.",https://principled.cs.cornell.edu/,Modular Concurrency Control,"Bill and Melinda Gates Hall, Cornell University, Ithaca NY 14853",NULL,NULL,7
3,8,Computational Visualization Center,"The Computational Visualization Center is a cross-disciplinary effort whose mission is to develop and improve the core technologies for comprehensive computational modeling, simulation, analysis, and visualization of natural and synthetic phenomena and then utilize them as an integrated tool for rapid discovery. The Center is under the joint auspices of the Oden Institute for Computational Engineering and Sciences and the Department of Computer Sciences at the University of Texas at Austin.
The center’s current research and education areas of interest span Image Processing, Computational Geometry, Geometric Modeling, Computer Graphics Animation, Data Analysis, Visualization, and Computational Mathematics. Recent research and software development topics include the design and development of efficient and robust 2D/3D/4D image and geometry filtering, reconstruction, compression, matching and meshing algorithms. These are being applied in our current research projects, in particular, to the structure elucidation and construction of multi-scale domain models of molecules, organelles, cells, tissues and organs from multi-modal, microscopy and bio-imaging. The center’s research groups are also involved in developing integrated approaches to computational modeling, mathematical analysis and interrogative visualization, especially for dynamic bio-medical phenomena. The center’s education and outreach output include generating interpretive scientific animation, and interactive movies, that are being used in classroom instruction, as well as increasing the public awareness of the causative nature of disease, and potential cures.",https://cvcweb.oden.utexas.edu/cvcwp/,"Image Processing, Computational Geometry, Geometric Modeling, Computer Graphics Animation, Data Analysis, Visualization, and Computational Mathematics",NULL,NULL,NULL,28
4,10,Trishul lab,"The Trishul lab at UT Austin, directed by Prof. Swarat Chaudhuri, studies problems at the interface of programming languages, logic and formal methods, and machine learning. Through a combination of symbolic knowledge representations, statistical learning, search, and automated reasoning, we hope to build a new class of intelligent systems that are reliable, secure, and transparent by construction and can perform complex tasks that are beyond the scope of contemporary AI.",https://trishul.us/,"Robotics and Cyber-Physical Systems, Scientific Discovery, Software Engineering, Automated Reasoning, Program Synthesis, Probabilistic Programming, Neurosymbolic Programming, Safe Systems, Interpretable Systems, Data-Efficient Learning, Bridging Abstraction, Learning, and Reasoning",NULL,swarat@cs.utexas.edu,NULL,13
5,11,UT-Austin Machine Learning Lab (MLL),"The Machine Learning Laboratory was launched to answer one of the biggest questions facing science today: How do we harness the mechanics of intelligence to improve the world around us? Machine learning sheds light on the answer by transforming data into a mathematical blueprint to automate complex, high value cognitive processes. This blueprint has had a profound effect on our ability to replicate human capabilities such as language comprehension and vision.
These advances are just the beginning. Machine learning promises to remake the frontiers of science in field after field, from better understanding brain function to unveiling the origins of the stars in the Milky Way. The Machine Learning Laboratory will work towards these goals by focusing the efforts of more than sixty faculty and scientists. Through them, we will change our understanding of science, and through that science change the world.",https://ml.utexas.edu/,"Active Learning, Bioinformatics, Computational Neuroscience, Deep Learning, Evolutionary Computation, Explainable AI, Graphical Models, Graphics & Visualization, Knowledge Representation, Large Scale Machine Learning, Machine Learning Theory, Natural Language, Networks, Optimization, Recommender Systems, REinforcement Learning, Robotics, Signal Processing, Statistical Machine Learning, Variational Inference, Virtual Reality, Vision, Wireless Communication",NULL,ml-lab@austin.utexas.edu,512-232-7409,NULL
6,12,UT Systems and Storage Lab,"At UT SASLab, we aim to build the next generation of storage systems. This means building storage systems that have higher performance and stronger reliability. We build both storage systems and the tools required to develop such systems rigorously, such as testing frameworks. Our work involves innovation both at the data-structure level and at systems level. We open-source all the software we build, and aim to have impact both inside academia and in industry.",https://utsaslab.cs.utexas.edu/,Storage system,NULL,NULL,NULL,7
7,18,Rice RobotΠ Lab,where robots Physically Interact with the world,https://robotpilab.github.io/,Robot manipulation,"6100 Main Street, Houston, TX 77005",kaiyu.hang@rice.edu,NULL,7
8,21,MURGe-Lab,"Our MURGe-Lab (Multimodal Understanding, Reasoning, and Generation for Language Lab; pronounced as ""merge-lab"") has research interests in statistical natural language processing and machine learning, with a focus on multimodal, grounded, and embodied semantics (i.e., language with vision and speech, for robotics), human-like language generation and Q&A/dialogue, and interpretable and structured deep learning. We are a group of PhD, MS, BS, and visiting students who work with Prof. Mohit Bansal and collaborators in the Computer Science department (lab located in Brooks Building FB-241C) at the University of North Carolina (UNC) Chapel Hill. We are also a part of the bigger UNC-NLP Group!",https://murgelab.cs.unc.edu/index.html,statistical natural language processing and machine learning,"Brooks Building FB-241C
 University of North Carolina at Chapel Hill
 Chapel Hill, NC 27599-3175",hanguo@cs.unc.edu,NULL,27
9,22,Visual Analysis and Communication Laboratory,"The Visual Analysis and Communication Laboratory (VACLab) conducts research at the intersection of interactive visualization, human-computer interaction, and machine learning. Led by Dr. David Gotz, the VACLab develops new methods of interactive visualization to support more efficient, effective, and intuitive information analysis and communication. The VACLab also studies how these new methods are used within the context of a wide range of domain application areas, both to learn why existing methods work and to discover new opportunities for scientific advancement. Many recent research projects have focused on healthcare and life science applications, though the lab’s research is not limited to these areas.",https://vaclab.unc.edu/,"intersection of interactive visualization, human-computer interaction, and machine learning","The VACLab is located on the bottom floor of Manning Hall, the building which houses the UNC School of Information and Library Science. Our common lab space is in Room 002 with individual lab members sitting in several nearby offices.",NULL,NULL,11
10,23,UNC Biomedical Image Analysis Group,"The Biomedical Image Analysis Group at the University of North Carolina at Chapel Hill (UNC-biag) focuses on the design of computational algorithms to extract quantitative measures from biomedical data. While our emphasis is on image data (e.g., obtained via magnetic resonance imaging, computed tomography, or microscopy) our analyses also include clinical measures and genomics. The group is led by Marc Niethammer.",https://biag.cs.unc.edu/,Biomedical Image Analysis,250 Fred Brooks Building (FB250),mn@cs.unc.edu,919-590-6149,11
11,24,LUPA Lab,"Welcome to the LUPA Lab, a research group devoted to machine learning and artificial intelligence. We are looking to see what makes data tick, and understanding data at an aggregate, holistic level. The LUPA Lab is using techniques ranging from modern deep learning architectures to nonparametric statistics to make strides in areas like: high-dimensional density estimation and modeling; sequential modeling and RNNs; and learning over complex or structured data. Take a glance below for a word-cloud of our interests, or see our projects page for what we are working on.
We are exploring collective approaches (that exploit collections like sets and distributions) to bridge the gap between machine and human learning by providing further context than myopic point estimation approaches. We prefer simple estimators that make few assumptions; that is, flexible and powerful methods that are able to generalize and extrapolate. Further, we are developing techniques for analyzing massive datasets, both in terms of instances and covariates. 
This work will help us solve problems like predicting whether a Twitter topic will go viral, or predicting the risk of disease given a person's functional brain data, or predicting the future distribution of dark matter particles. Application areas include: health and medicine; science; business; earth and climate; and computer vision.",https://sites.google.com/cs.unc.edu/lupalab,"Machine learning, artificial intelligence, nonparametric statistics, deep learning, statistical data mining, signal processing, graphical models, generative models, kernel methods, scalability, complex datasets, optimization, density estimation.",258 Sitterson Hall,joliva@cs.unc.edu,919-590-6158,5
