UniversityID,UniversityName,UniversitySite,State,Address,Tel,Ranking,Expenses(On),Expenses(off),LivingEnvironment
1,Arizona State University,graduate.asu.edu,Arizona,"1120 South Cady Mall Tempe, AZ 85287-1003",855-278-5080,46,"31,899",NULL,A
2,University of Arizona,grad.arizona.edu,Arizona,"1401 E University Blvd Tucson, AZ 85721",5206212211,46,"19,600","17,200",B+
3,Stanford University,gradadmissions.stanford.edu,California,"450 Jane Stanford Way Stanford, CA 943052004",650-723-2300,50,"26,102",NULL,A+
4,"University of California, Berkeley",https://www.berkeley.edu,California,"University Avenue and, Oxford St, Berkeley, CA 94720",510-642-6000,1,"20,442","3,858",A+
5,"University of California, San Diego",https://ucsd.edu,California,"9500 Gilman Dr, La Jolla, CA 92093",(858) 534-2230,12,"27,153","24,522",A+
6,California Institute of Technology,https://www.caltech.edu,California,"1200 E California Blvd, Pasadena, CA 91125",(626) 395-6811,14,"26,070","29,490",A
7,"University of California, Los Angeles",https://www.ucla.edu/,California,Los Angeles 90095,310-825-4321,14,"24,039","25,085",A+
8,"University of California, Santa Barbara",https://www.ucsb.edu/,California,"Santa Barbara, CA 93106",(805) 893-8000,24,"27,537","24,606",A+
9,University of Southern California,https://www.usc.edu/,California,Los Angeles 90007,213-740-2311,24,"24,281","24,281",B-
10,"University of California, Irvine",https://uci.edu,California,"Irvine, CA 92697 ",949-824-5011,31,"38,652","37,295",A+
11,"University of California, Davis",https://www.ucdavis.edu,California,"One Shields Avenue, Davis, CA 95616",530-752-1011,41,"27,637","23,160",A
12,"University of California, Santa Cruz",https://www.ucsc.edu/,California,"1156 High Street, Santa Cruz, CA 95064",(831) 459-0111,50,"25,995","24,807",B+
13,"University of California, Riverside",https://www.ucr.edu,California,"900 University Ave. Riverside, CA 92521",(951) 827-1012,57,"25,616","21,316",B+
14,Naval Postgraduate School,https://nps.edu,California,"1 University Circle, Monterey, CA 93943",831-656-2442,105,NULL,NULL,A
15,"University of California, Merced",https://www.ucmerced.edu,California,"5200 North Lake Rd. Merced, CA 95343",(209) 228-4400,105,"25,336","16,728",B
16,Chapman University,https://www.chapman.edu,California,"One University Drive, Orange, CA 92866 ",(714) 997-6815,202,"25,290","21,186",A-
17,Claremont Graduate University,https://www.cgu.edu,California,"150 E. 10th Street, Claremont, CA 91711",909-621-8000,202,NULL,NULL,A
18,University of Colorado Boulder,https://www.colorado.edu/,Colorado,"3100 Marine St., Boulder, CO 80303",303-492-1411,35,"17,590","15,470",A-
19,Colorado School of Mines,https://www.mines.edu,Colorado,"1500 Illinois St., Golden, CO 80401",303-273-3000,83,"24,933","24,933",A
20,Colorado State University,https://www.colostate.edu,Colorado,"1063 Campus Delivery, Fort Collins, CO 80523",(970) 491-4860,83,"19,960","20,660",B+
21,University of Colorado Colorado Springs,https://www.uccs.edu,Colorado,"1420 Austin Bluffs Pkwy, Colorado Springs, CO, USA 80918",719-255-8227,152,39901,40301,B-
22,University of Colorado Denver,https://www.ucdenver.edu,Colorado,"1201 Larimer Street, Denver, CO 80204",(303) 315-5969,161,48844,47025,A-
23,University of Denver,https://www.du.edu,Colorado,"2199 S. University Blvd. Denver, CO 80208",303-871-2000,171,"20,274","17,904",B+
24,University of Hawaii at Manoa,https://manoa.hawaii.edu/,Hawaii,"2500 Campus Road,  Honolulu, HI 96822",(808) 956-8111,139,"21,027","24,564",B+
25,Boise State University,https://www.boisestate.edu,Idaho,"1910 University Drive, Boise, Idaho 83725",(208) 426-1000,161,"10,645","10,167",B+
26,University of Idaho,https://www.uidaho.edu,Idaho,"875 Perimeter Drive, Moscow, ID 83844",208-885-6111,171,"16,052",NULL,A-
27,Montana State University,https://www.montana.edu,Montana,"Culbertson Hall, 100, Bozeman, MT 59717",(406) 994-0211,171,"22,886",NULL,B+
28,"University of Nevada, Reno",https://www.unr.edu,Nevada,"1664 N. Virginia Street, Reno, NV 89557",(775) 784-1110,139,45389,45389,B+
29,"University of Nevada, Las Vegas",https://www.unlv.edu,Nevada,"4505 S. Maryland Pkwy. Las Vegas, NV 89154",702-895-3011,152,"34,898","45,560",B+
30,University of New Mexico,https://www.unm.edu,New Mexico,"Albuquerque, NM 87131",(505) 277-0111 ,91,"16,388",NULL,B+
31,New Mexico State University,https://www.nmsu.edu,New Mexico,"1780 E University Ave, Las Cruces, NM 88003",(575) 646-0111,120,"17,964",NULL,B+
32,New Mexico Institute of Mining and Technology ,http://www.nmt.edu,New Mexico,"801 Leroy Place, Socorro, NM 87801",575-835-5513,171,"16,286",NULL,A-
33,Oregon State University,https://oregonstate.edu,Oregon,"1500 SW Jefferson Way, Corvallis, OR 97331",541-737-1000,65,"18,711",NULL,A-
